p,K,E_lam1,E_lam2,E_lam3,E_mit_linear,E_exact,a,b,c,E_lam0,residual_floor
0.01,8.0,5.996391689726943,8.639209247843265,13.60230327186004,2.193435898660396,1.0000000000000138,2118300.3135516234,-2118298.5068472903,0.9999982047110173,1.8067043330520391,0.8067043330520254
0.01,9.0,6.641802111825743,9.75971541545982,15.267014170473054,2.3291960825020865,1.000000000000004,2541560.515185711,-2541558.584215422,0.9999983031694172,1.9309702888131142,0.9309702888131102
0.01,10.0,7.304625970353229,10.87146725381589,16.949346914319506,2.48226549837009,1.0000000000000429,3064478.858311196,-3064476.7945425315,0.9999984263673478,2.0637686643749475,1.0637686643749047
0.01,11.0,7.966199906383082,11.99731493150338,18.631569930074228,2.633514894537509,0.9999999999999576,2354518.946984689,-2354516.7471693065,0.9999977351554237,2.1998153827153146,1.199815382715357
0.01,12.0,8.639739906592897,13.164067680278285,20.30564215412101,2.806788782828841,0.9999999999999708,3855694.052236744,-3855691.681613595,0.9999984871904941,2.3706231489777565,1.3706231489777858
0.01,13.0,9.353651408345332,14.299591242980537,21.971838020575053,3.0445581022304715,0.9999999999999852,3771662.42340107,-3771659.833385558,0.9999983272140986,2.590015511959791,1.5900155119598058
0.01,14.0,9.975225690822574,15.394973746550406,23.653762866118,3.13595710317486,1.000000000000024,3202931.959892967,-3202929.297009247,0.9999978646962518,2.662883719895035,1.662883719895011
0.01,15.0,10.652635083823103,16.415658604129195,25.334460543139212,3.311722354165049,0.9999999999999768,4277082.08230879,-4277079.296628276,0.9999982836564133,2.785680513828993,1.785680513829016
0.01,16.0,11.300831406637766,17.523353593009762,26.99865478705048,3.451919716431407,1.0000000000000222,4456999.599453498,-4456996.689796949,0.9999982389565071,2.90965654887259,1.9096565488725679
0.02,-16.0,-360.3841564380733,-347.3115324871128,-325.4975353232445,-377.8274669954878,-382.9999999999999,10765987.372658364,-10766366.656692475,0.9999983798444807,-379.2840341106057,3.7159658893941696
0.02,-15.0,-338.4774703843629,-325.7140205979476,-306.98922026637314,-354.2215954433577,-358.99999999999966,8908469.717854962,-8908824.933017131,0.9999982327500008,-355.21516216918826,3.784837830811398
0.02,-14.0,-315.9511343499716,-304.11664920121905,-286.6325215220979,-330.6104407639084,-335.0000000000001,8579063.864533488,-8579395.416592672,0.9999982913367271,-331.55205918475986,3.4479408152402584
0.02,-13.0,-292.7954760284296,-282.51945081417733,-266.2768409912236,-306.0547935470326,-311.0,8525036.845115226,-8525343.894508401,0.9999984447060601,-307.0493931751698,3.9506068248301744
0.02,-12.0,-270.8796717093049,-260.92269690577115,-245.92223085741645,-283.3583921352491,-286.9999999999998,9009166.848465687,-9009451.047657019,0.9999986149196549,-284.1991913318634,2.8008086681363693
0.02,-11.0,-248.3268327343741,-239.32598013059064,-225.5687493037088,-259.70587444970676,-262.9999999999997,7263091.644758023,-7263352.143333565,0.9999984333625762,-260.4985755421221,2.50142445787759
0.02,-10.0,-225.8078791625536,-217.729442488372,-203.7053134298828,-236.859162028889,-239.00000000000009,7693601.227191338,-7693839.077491539,0.9999985636093764,-237.85030020028353,1.149699799716558
0.02,-9.0,-202.67792958853693,-196.1331040628137,-183.4066093167122,-212.3135897244493,-214.99999999999991,6169129.872295806,-6169343.216387199,0.9999984381186842,-213.34409139305353,1.655908606946383
0.02,-8.0,-180.73651408842,-174.5369666144153,-162.32682480367214,-189.94135873079392,-190.9999999999999,5547903.591267914,-5548094.534316387,0.9999983409061284,-190.94304847344756,0.05695152655232505
0.02,-7.0,-157.55140539619063,-152.94103492962404,-144.1672210964168,-164.24349754607755,-167.00000000000009,4795733.956482392,-4795898.893785255,0.999998604631255,-164.93730286322534,2.0626971367747444
0.02,-6.0,-135.66526719401872,-131.3453095278651,-123.82020236203851,-141.58779961000883,-143.00000000000028,4246765.235187566,-4246907.357253185,0.999998605440291,-142.12206561863422,0.8779343813660603
0.02,-5.0,-113.35693641917736,-109.74979282552556,-102.21179238484667,-118.9295084363427,-123.56603968487644,3864317.984289383,-3864437.5690010963,0.9999985579770638,-119.58471171325073,3.981327971625717
0.02,-4.0,-97.5227808081887,-92.10556929378566,-84.12928188655357,-104.21953026900626,-107.56603968487642,3458427.4139968203,-3458532.059938674,0.9999980637130752,-104.64594185352325,2.9200978313531607
0.02,-3.0,-81.72334776944683,-76.09918410853399,-68.67695031821823,-88.24654649506112,-91.56603968487632,3511745.6193732806,-3511834.1656855084,0.9999981424980406,-88.54631222784519,3.0197274570311237
0.02,-2.0,-65.8925892823651,-60.23448982414983,-53.18029886465966,-72.24873449121782,-75.5660396848763,3630416.950769153,-3630489.4322177107,0.9999982492253952,-72.48144855769351,3.08459112718279
0.02,-1.0,-50.167071216790205,-44.5274985325673,-37.80133529650158,-56.34993917693453,-59.56603968487627,3406556.117986478,-3406612.6490888344,0.9999981850276343,-56.531102356500924,3.0349373283753494
0.02,0.0,-34.645509359070026,-29.430636425468613,-22.9359394144116,-40.500294331399246,-43.56603968487643,2872939.7827173257,-2872980.4964056253,0.9999979621031501,-40.71368829952553,2.8523513853509
0.02,1.0,-21.64620593073803,-17.403838807890935,-11.442195169850724,-26.748211311181684,-35.56603968487625,2983092.39505775,-2983119.429782941,0.9999982897114199,-27.03472519107163,8.531314493804622
0.02,2.0,-12.641289588858312,-8.412197698916712,-2.316161256608531,-17.8038537549832,-27.566039684876344,2833431.7210152317,-2833449.836104474,0.99999817797746,-18.115089242346585,9.45095044252976
0.02,3.0,-4.5336264816595255,0.0094555826885343,6.2043630781912205,-9.9026212615849,-19.566039684876287,2886138.1818005843,-2886148.359669975,0.9999981397446147,-10.177869390696287,9.38817029418
0.02,4.0,2.771175876980957,7.167800098959566,12.051975873940806,-1.8692241214989673,-11.56603968487638,2078747.831897568,-2078749.7824260117,0.9999977676871312,-1.9505284437909722,9.615511241085407
0.02,5.0,6.3223081004901225,9.19653736307517,15.084917285192049,1.9410035081391595,-3.566039684876202,2313126.343704299,-2313124.9049232574,0.9999981059206422,1.4387810416519642,5.004820726528166
0.02,6.0,7.503659747331642,11.22088025840362,18.10190573321515,2.2045367543898866,0.9999999999999948,2990748.0009548627,-2990746.3238180177,0.9999982281445341,1.6771368449553847,0.67713684495539
0.02,7.0,8.692539768052775,13.246038515644145,21.135954703277346,2.47083230044049,0.9999999999999978,3577078.818328958,-3577076.903444981,0.9999982606867157,1.9148839768022299,0.9148839768022321
0.02,8.0,9.886647573147297,15.342757136793937,24.18019406229349,2.7398743285741993,1.0000000000000138,4820262.735769541,-4820260.559627871,0.9999985173288761,2.176141669973731,1.1761416699737173
0.02,9.0,11.076441321879862,17.47373843386982,27.22744594227798,3.000939011680803,1.000000000000004,4929138.346295087,-4929135.904636404,0.9999983616890683,2.4416586831212044,1.4416586831212004
0.02,10.0,12.263728063590618,19.337368631989182,30.238375880731144,3.2764041550203533,1.0000000000000429,4738979.947394226,-4738977.30911698,0.9999981035091466,2.638277245685458,1.6382772456854153
0.02,11.0,13.45594910632646,21.35604945730352,33.26266950582805,3.5525889065756644,0.9999999999999576,6369986.572432064,-6369983.687454761,0.9999984453171871,2.884977303445339,1.8849773034453816
0.02,12.0,14.65143411816314,23.483449100254447,36.32454877597073,3.814876789259344,0.9999999999999708,6269312.555049225,-6269309.408202002,0.9999982715011337,3.146847222931683,2.1468472229317124
0.02,13.0,15.820175374537335,25.710104556096912,39.35518878043325,4.052668671589377,0.9999999999999852,8259864.901077379,-8259861.474238713,0.9999985753396495,3.4268386652693152,2.42683866526933
0.02,14.0,17.014046822504486,27.434908704217047,42.37525205160443,4.333444207954518,1.000000000000024,8542661.960904343,-8542658.380964337,0.9999985156003937,3.5799400061368942,2.5799400061368702
0.02,15.0,18.21361659427027,29.53025689718141,45.43183437207439,4.60450770536821,0.9999999999999768,8186675.570755012,-8186671.730548721,0.999998337643287,3.840206291526556,2.840206291526579
0.02,16.0,19.388724713174557,31.58009539118299,48.44591135729042,4.860131391116628,1.0000000000000222,9255764.52043261,-9255760.439622838,0.9999984303076188,4.080809772014618,3.0808097720145957
0.05,-16.0,-330.4818918526542,-306.0030269347077,-274.72179830316554,-358.36193862739856,-382.9999999999999,13662249.371261839,-13662608.867172185,0.9999979593789741,-359.495910346508,23.50408965349186
