p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-16.0,0,2,40,4,20002,-367.95554924901876,-382.9999999999999,3.928055026365831,2000,False,True,False,False,435.2728955745697
0.005,-16.0,0,2,40,5,20002,-369.4673149408133,-382.9999999999999,3.5333381355578535,2000,False,True,False,False,435.2728955745697
0.005,-16.0,0,2,40,6,20002,-369.5206191777637,-382.9999999999999,3.519420580218325,2000,False,True,False,False,435.2728955745697
0.005,-16.0,0,2,40,7,20002,-369.098974435387,-382.9999999999999,3.6295105912827412,2000,False,True,False,False,435.2728955745697
0.005,-11.0,5,2,40,0,20052,-252.43963642890728,-262.9999999999997,4.015347365434391,2000,False,True,False,False,443.61963081359863
0.005,-11.0,5,2,40,1,20052,-252.47495784450524,-262.9999999999997,4.001917169389539,2000,False,True,False,False,443.61963081359863
0.005,-11.0,5,2,40,2,20052,-253.73230794462458,-262.9999999999997,3.523837283412603,2000,False,True,False,False,443.61963081359863
0.005,-11.0,5,2,40,3,20052,-252.33122582000502,-262.9999999999997,4.056568129275555,2000,False,True,False,False,443.61963081359863
0.005,-11.0,5,2,40,4,20052,-255.79165555074923,-262.9999999999997,2.740815379943155,2000,False,True,False,False,443.61963081359863
0.005,-11.0,5,2,40,5,20052,-255.84871303277458,-262.9999999999997,2.7191205198574675,2000,False,True,False,True,443.61963081359863
0.005,-11.0,5,2,40,6,20052,-255.1629279519828,-262.9999999999997,2.97987530342849,2000,False,True,False,False,443.61963081359863
0.005,-11.0,5,2,40,7,20052,-252.00340978939852,-262.9999999999997,4.1812130078331595,2000,False,True,False,False,443.61963081359863
0.005,-12.0,4,2,40,0,20042,-276.8125342959451,-286.9999999999998,3.549639618137515,2000,False,True,False,False,444.90268445014954
0.005,-12.0,4,2,40,1,20042,-278.9826321698958,-286.9999999999998,2.7935079547400643,2000,False,True,False,True,444.90268445014954
0.005,-12.0,4,2,40,2,20042,-275.4650967997696,-286.9999999999998,4.019130034923414,2000,False,True,False,False,444.90268445014954
0.005,-12.0,4,2,40,3,20042,-276.7850989423292,-286.9999999999998,3.559198974798102,2000,False,True,False,False,444.90268445014954
0.005,-12.0,4,2,40,4,20042,-278.95715417092333,-286.9999999999998,2.802385306298414,2000,False,True,False,False,444.90268445014954
0.005,-12.0,4,2,40,5,20042,-274.9979602397054,-286.9999999999998,4.181895386862162,2000,False,True,False,False,444.90268445014954
